Depth	TVD	ROP	WOB	RPM   Torque    SPP	GPM   Temp IN Temp Out				
464	463.99	23.93	4	117	1	1477	852	95	90
465	464.99	58.58	5	126	1	1470	855	95	90
466	465.99	37.08	4	126	1	1455	855	95	90
467	466.99	70.45	5.75	78	2	1456	715	89	90
468	467.99	40.07	3.5	78	2	1259	494	89	90
469	468.99	42.68	6.3	79	3	1459	495	89	90
470	469.99	30.94	3.62	75	2	1526	510	89	90
471	470.99	11.71	3.17	75	2	1423	508	89	90
472	471.99	14.99	2.06	74	2	1420	507	89	90
473	472.99	12.56	1.23	74	2	1236	480	89	90
474	473.99	14.78	2.94	72	3	1236	473	89	90
475	474.99	32.88	3.88	74	2	1529	491	89	90
476	475.99	28.54	2.34	73	3	687	505	89	90
477	476.99	28.02	3.02	72	3	759	522	89	90
478	477.99	25.54	4.34	73	4	1078	658	89	90
479	478.99	25.62	3.6	80	3	1221	698	89	90
480	479.99	24.62	3.21	80	3	1070	656	90	90
481	480.99	24.19	1.26	80	2	1073	656	90	90
482	481.99	23.56	4.62	76	3	910	657	90	90
483	482.99	23.06	6.81	75	4	859	656	90	90
484	483.99	22.71	5.15	74	4	968	682	90	91
485	484.99	22.32	4.79	74	4	1064	724	90	91
486	485.99	16.93	2.65	72	4	1126	752	90	91
487	486.99	15.52	6.29	73	4	1223	785	90	91
488	487.99	12.62	4.13	92	3	1184	780	90	91
489	488.99	17.44	3.14	90	3	1171	757	90	91
490	489.99	18.36	2.28	91	3	1163	774	91	91
491	490.99	14.22	2.47	63	2	819	538	91	91
492	491.99	88.27	6.03	65	2	802	678	91	91
493	492.99	45.94	4.36	69	4	811	695	91	91
494	493.99	49.52	5.96	78	4	817	658	91	91
495	494.99	96.31	8.95	79	2	823	698	91	92
496	495.99	141.55	2.29	100	3	869	789	91	92
497	496.99	42.3	5.36	106	2	1359	789	91	92
498	497.99	31.15	2.91	103	1	1345	802	91	92
499	498.99	32.58	3.34	102	2	1246	774	91	92
500	499.99	23.7	2.86	103	4	1231	772	91	92
501	500.99	26.31	3.68	97	4	1282	782	91	92
502	501.99	32.64	4.77	100	3	1383	805	91	92
503	502.99	24.24	5.77	99	3	1276	767	92	92
504	503.99	23.49	5.31	100	3	992	673	92	92
505	504.99	24.98	4.69	99	4	946	658	92	92
506	505.99	27.16	4.32	98	4	962	667	92	92
507	506.99	26.17	2.5	100	3	1077	706	92	93
508	507.99	25.12	6.22	99	4	1196	750	92	93
509	508.99	24.57	4.7	99	4	1217	755	92	93
510	509.99	24.51	6.16	97	5	1218	754	92	93
511	510.99	23.18	6.26	100	3	1216	755	92	93
512	511.99	21.02	3.95	98	4	1325	786	92	93
513	512.99	20.67	4.67	99	4	1408	810	92	93
514	513.99	20.72	3.07	100	3	1407	810	92	93
515	514.99	20.17	3.1	99	3	1416	809	92	93
516	515.99	18.73	2.18	100	3	1419	789	92	93
517	516.99	22.9	3.42	98	4	1422	810	92	93
518	517.99	23.76	2.14	99	4	1408	810	92	93
519	518.99	17.87	4.11	102	3	1429	810	92	93
520	519.99	19.94	1.86	102	3	1424	810	92	93
521	520.99	67.82	2.07	102	5	1452	812	92	93
522	521.99	65.53	1.47	100	5	1459	842	92	93
523	522.99	45.42	1.96	78	3	1489	602	92	93
524	523.99	19.33	3.67	100	3	1232	753	92	93
525	524.99	19.1	1.01	100	3	1231	752	92	93
526	525.99	73.83	2.36	102	1	1013	459	92	93
527	526.99	23.31	2.86	90	3	1458	677	92	93
528	527.99	29.1	4.14	100	4	1038	752	92	93
529	528.99	27.95	4.46	100	4	1054	751	92	93
530	529.99	28.29	6.5	98	5	1057	751	92	93
531	530.99	24.09	8.46	96	6	1067	752	92	93
532	531.99	20.04	8.09	95	6	1078	752	92	93
533	532.99	24.61	9.75	95	7	1096	757	92	93
534	533.99	30.63	9.28	97	5	1172	782	92	93
535	534.99	24.11	5.36	90	8	1102	761	92	93
536	535.99	18.94	2.58	106	4	910	679	92	93
537	536.99	12.68	1.59	105	4	910	680	92	93
538	537.99	14.73	2.48	105	4	919	680	92	93
539	538.99	21.98	4.63	105	4	920	680	92	93
540	539.99	24.5	2.96	105	4	923	680	92	93
541	540.99	22.77	5.22	105	4	922	679	91	92
